frame num,person id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
3,1,137,216,855,605,20,25,24,F
3,2,1138,101,703,513,35,40,35,M
4,1,136,216,855,611,20,25,24,F
4,2,1139,102,702,513,35,40,35,M
5,1,137,214,856,612,20,25,24,F
5,2,1139,100,705,514,35,40,35,M
6,1,139,213,857,611,20,25,24,F
6,2,1139,100,705,516,35,40,35,M
7,1,140,213,858,615,20,25,24,F
7,2,1141,100,706,516,35,40,35,M
8,1,140,214,857,614,20,25,24,F
8,2,1142,99,707,516,35,40,35,M
9,1,139,213,858,617,20,25,24,F
9,2,1142,98,709,520,35,40,35,M
10,1,138,213,858,617,20,25,24,F
10,2,1143,97,711,521,35,40,35,M
11,1,139,213,858,615,20,25,24,F
11,2,1145,98,709,520,35,40,35,M
12,1,141,212,859,616,20,25,24,F
12,2,1147,98,709,519,35,40,35,M
13,1,142,211,860,612,20,25,24,F
13,2,1149,98,709,518,35,40,35,M
14,1,141,211,863,616,20,25,24,F
14,2,1155,102,707,514,35,40,35,M
15,1,143,211,861,618,20,25,24,F
15,2,1159,103,705,511,35,40,35,M
16,1,144,211,860,616,20,25,24,F
16,2,1160,103,705,512,35,40,35,M
17,1,146,214,856,615,20,25,24,F
17,2,1161,103,705,514,35,40,35,M
18,1,146,215,855,616,20,25,24,F
18,2,1163,104,704,512,35,40,35,M
19,1,152,214,856,603,20,25,24,F
19,2,1165,102,706,511,35,40,35,M
20,1,150,214,857,606,20,25,24,F
20,2,1167,102,706,511,35,40,35,M
21,1,149,216,855,610,20,25,24,F
21,2,1168,102,706,512,35,40,35,M
22,1,152,216,855,608,20,25,24,F
22,2,1169,102,707,511,35,40,35,M
23,1,155,217,855,607,20,25,24,F
23,2,1170,102,707,511,35,40,35,M
24,1,157,217,855,604,20,25,24,F
24,2,1171,102,707,510,35,40,35,M
25,1,152,217,855,611,20,25,24,F
25,2,1172,102,707,510,35,40,35,M
26,1,154,217,855,604,20,25,24,F
26,2,1173,102,707,509,35,40,35,M
27,1,153,215,857,610,20,25,24,F
27,2,1174,102,706,508,35,40,35,M
28,1,152,215,856,611,20,25,24,F
28,2,1174,102,706,508,35,40,35,M
29,1,150,215,857,615,20,25,24,F
29,2,1174,103,705,508,35,40,35,M
30,1,150,216,856,612,20,25,24,F
30,2,1173,103,705,509,35,40,35,M
31,1,154,217,855,606,20,25,24,F
31,2,1172,103,704,510,35,40,35,M
32,1,154,217,856,606,20,25,24,F
32,2,1171,103,705,510,35,40,35,M
33,1,154,218,855,606,20,25,24,F
33,2,1171,103,705,510,35,40,35,M
34,1,155,218,854,604,20,25,24,F
34,2,1170,103,705,511,35,40,35,M
35,1,155,217,854,603,20,25,24,F
35,2,1169,103,706,512,35,40,35,M
36,1,154,215,856,606,20,25,24,F
36,2,1169,103,705,511,35,40,35,M
37,1,153,215,855,603,20,25,24,F
37,2,1169,103,705,511,35,40,35,M
38,1,149,215,856,613,20,25,24,F
38,2,1168,103,705,512,35,40,35,M
39,1,149,215,857,612,20,25,24,F
39,2,1168,103,705,511,35,40,35,M
40,1,149,215,857,614,20,25,24,F
40,2,1168,103,706,511,35,40,35,M
41,1,148,215,857,616,20,25,24,F
41,2,1168,103,706,510,35,40,35,M
42,1,150,214,860,609,20,25,24,F
42,2,1167,103,706,511,35,40,35,M
43,1,151,214,861,607,20,25,24,F
43,2,1167,104,705,510,35,40,35,M
44,1,148,217,857,611,20,25,24,F
44,2,1167,104,705,509,35,40,35,M
45,1,149,221,851,608,20,25,24,F
45,2,1167,103,706,509,35,40,35,M
46,1,148,222,850,612,20,25,24,F
46,2,1167,103,706,509,35,40,35,M
47,1,148,223,848,613,20,25,24,F
47,2,1166,103,706,510,35,40,35,M
48,1,147,223,848,615,20,25,24,F
48,2,1166,103,706,510,35,40,35,M
49,1,145,223,848,619,20,25,24,F
49,2,1166,103,705,509,35,40,35,M
50,1,148,223,848,614,20,25,24,F
50,2,1165,103,705,510,35,40,35,M
51,1,149,222,849,613,20,25,24,F
51,2,1164,103,705,511,35,40,35,M
52,1,150,222,849,611,20,25,24,F
52,2,1163,102,706,511,35,40,35,M
53,1,143,221,851,621,20,25,24,F
53,2,1163,103,706,511,35,40,35,M
54,1,146,221,850,617,20,25,24,F
54,2,1163,103,706,511,35,40,35,M
55,1,149,221,850,611,20,25,24,F
55,2,1163,103,707,511,35,40,35,M
56,1,148,221,850,613,20,25,24,F
56,2,1163,102,709,511,35,40,35,M
57,1,147,221,850,615,20,25,24,F
57,2,1163,103,708,511,35,40,35,M
58,1,147,222,849,615,20,25,24,F
58,2,1163,103,708,510,35,40,35,M
59,1,145,222,849,617,20,25,24,F
59,2,1162,102,710,511,35,40,35,M
60,1,143,222,849,621,20,25,24,F
60,2,1162,101,711,510,35,40,35,M
61,1,142,222,849,623,20,25,24,F
61,2,1161,100,710,512,35,40,35,M
62,1,142,223,848,623,20,25,24,F
62,2,1162,100,710,510,35,40,35,M
63,1,143,223,848,621,20,25,24,F
63,2,1162,98,713,508,35,40,35,M
