frame num,person id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
3,1,736,245,437,165,30,35,34,M
3,2,428,295,345,90,25,30,29,M
3,3,342,310,333,107,30,35,30,F
3,4,873,367,197,58,30,35,30,M
3,5,301,334,260,65,-1,-1,-1,N
3,6,0,400,157,108,30,35,30,M
3,7,172,327,235,62,30,35,30,F
3,11,530,384,145,33,25,30,26,M
4,1,739,244,437,161,30,35,34,M
4,2,427,300,343,95,25,30,29,M
4,3,332,307,334,116,30,35,30,F
4,4,875,367,196,64,30,35,30,M
4,5,302,335,259,65,-1,-1,-1,N
4,6,0,400,158,109,30,35,30,M
4,7,172,327,235,61,30,35,30,F
4,11,531,381,147,33,25,30,26,M
5,1,744,242,437,153,30,35,34,M
5,2,428,302,342,97,25,30,29,M
5,3,324,305,336,122,30,35,30,F
5,4,875,367,197,63,30,35,30,M
5,6,0,400,158,109,30,35,30,M
5,7,172,328,236,60,30,35,30,F
5,11,531,382,147,34,25,30,26,M
6,1,746,243,434,149,30,35,34,M
6,2,428,299,346,99,25,30,29,M
6,3,317,302,340,126,30,35,30,F
6,4,880,368,196,53,30,35,30,M
6,6,0,400,158,109,30,35,30,M
6,7,170,329,235,64,30,35,30,F
6,11,530,384,147,36,25,30,26,M
7,1,748,243,435,146,30,35,34,M
7,2,428,298,346,100,25,30,29,M
7,3,319,301,343,120,30,35,30,F
7,4,880,367,195,52,30,35,30,M
7,6,0,399,159,109,30,35,30,M
7,7,169,328,237,66,30,35,30,F
7,11,530,384,148,37,25,30,26,M
7,16,590,380,163,40,30,35,30,M
8,1,750,246,431,146,30,35,34,M
8,2,427,302,342,101,25,30,29,M
8,3,318,298,346,117,30,35,30,F
8,4,880,366,193,51,30,35,30,M
8,6,0,397,161,110,30,35,30,M
8,7,167,328,238,69,30,35,30,F
8,11,528,384,148,39,25,30,26,M
8,16,591,365,181,40,30,35,30,M
9,1,751,249,427,147,30,35,34,M
9,2,427,301,344,100,25,30,29,M
9,3,317,297,348,118,30,35,30,F
9,4,879,367,190,53,30,35,30,M
9,6,0,397,161,110,30,35,30,M
9,7,165,328,237,70,30,35,30,F
9,11,529,384,148,38,25,30,26,M
9,16,590,364,183,43,30,35,30,M
10,1,754,252,425,146,30,35,34,M
10,2,427,302,342,99,25,30,29,M
10,3,314,297,348,119,30,35,30,F
10,4,881,368,188,50,30,35,30,M
10,6,0,398,160,110,30,35,30,M
10,7,164,327,238,70,30,35,30,F
10,11,529,384,149,37,25,30,26,M
10,16,589,356,191,45,30,35,30,M
11,1,756,254,422,144,30,35,34,M
11,2,427,306,339,97,25,30,29,M
11,3,312,297,346,118,30,35,30,F
11,4,881,368,192,49,30,35,30,M
11,6,0,399,159,109,30,35,30,M
11,7,162,326,239,71,30,35,30,F
11,11,528,384,149,39,25,30,26,M
11,16,589,352,194,46,30,35,30,M
12,1,759,260,416,147,30,35,34,M
12,2,425,308,338,99,25,30,29,M
12,3,309,298,344,120,30,35,30,F
12,4,884,369,192,45,30,35,30,M
12,6,0,397,161,109,30,35,30,M
12,7,160,326,239,72,30,35,30,F
12,11,527,384,150,39,25,30,26,M
12,16,588,350,195,48,30,35,30,M
13,1,766,262,417,142,30,35,34,M
13,2,424,309,337,98,25,30,29,M
13,3,309,298,344,118,30,35,30,F
13,4,885,369,192,44,30,35,30,M
13,6,0,396,162,109,30,35,30,M
13,7,159,325,240,73,30,35,30,F
13,11,527,384,150,39,25,30,26,M
14,1,768,263,417,148,30,35,34,M
14,2,424,311,335,98,25,30,29,M
14,3,306,298,344,123,30,35,30,F
14,6,0,396,162,110,30,35,30,M
14,7,159,325,240,71,30,35,30,F
14,11,527,384,149,39,25,30,26,M
14,16,587,351,193,55,30,35,30,M
15,1,775,261,415,146,30,35,34,M
15,2,424,312,336,97,25,30,29,M
15,3,304,299,342,125,30,35,30,F
15,6,0,394,164,109,30,35,30,M
15,7,158,326,240,71,30,35,30,F
15,11,527,384,149,39,25,30,26,M
15,16,589,348,198,53,30,35,30,M
16,1,778,256,414,149,30,35,34,M
16,2,422,313,336,101,25,30,29,M
16,3,302,299,342,127,30,35,30,F
16,6,0,397,161,111,30,35,30,M
16,7,158,327,237,71,30,35,30,F
16,11,528,384,149,38,25,30,26,M
16,16,588,346,200,56,30,35,30,M
17,1,782,255,415,150,30,35,34,M
17,2,420,312,336,106,25,30,29,M
17,3,302,301,340,124,30,35,30,F
17,6,0,397,161,110,30,35,30,M
17,7,157,328,237,71,30,35,30,F
17,11,528,383,150,38,25,30,26,M
17,16,589,346,200,55,30,35,30,M
18,1,786,253,419,151,30,35,34,M
18,2,417,312,337,108,25,30,29,M
18,3,304,302,340,120,30,35,30,F
18,6,0,399,159,110,30,35,30,M
18,7,158,328,239,70,30,35,30,F
18,11,528,384,149,38,25,30,26,M
18,16,589,345,202,56,30,35,30,M
19,1,788,253,420,159,30,35,34,M
19,2,417,311,339,104,25,30,29,M
19,3,301,304,337,127,30,35,30,F
19,6,0,400,159,110,30,35,30,M
19,7,158,330,238,70,30,35,30,F
19,11,527,385,148,39,25,30,26,M
19,16,588,347,201,61,30,35,30,M
20,1,788,253,417,167,30,35,34,M
20,2,415,310,341,107,25,30,29,M
20,3,302,304,337,122,30,35,30,F
20,6,0,400,159,109,30,35,30,M
20,7,158,330,237,70,30,35,30,F
20,11,527,385,148,39,25,30,26,M
20,16,588,349,199,61,30,35,30,M
21,1,789,254,414,172,30,35,34,M
21,2,415,310,342,105,25,30,29,M
21,3,303,304,339,122,30,35,30,F
21,6,0,398,162,110,30,35,30,M
21,7,158,329,238,71,30,35,30,F
21,11,527,385,148,38,25,30,26,M
21,16,589,351,197,60,30,35,30,M
22,1,791,256,411,174,30,35,34,M
22,2,414,310,341,101,25,30,29,M
22,3,304,304,339,122,30,35,30,F
22,6,0,397,163,110,30,35,30,M
22,7,157,328,238,73,30,35,30,F
22,11,527,385,148,39,25,30,26,M
22,16,589,355,194,60,30,35,30,M
23,1,794,260,410,174,30,35,34,M
23,2,413,310,340,99,25,30,29,M
23,3,305,303,340,122,30,35,30,F
23,6,0,397,163,109,30,35,30,M
23,7,157,328,238,73,30,35,30,F
23,11,527,386,147,38,25,30,26,M
23,16,590,356,193,59,30,35,30,M
24,1,795,263,408,175,30,35,34,M
24,2,411,311,338,97,25,30,29,M
24,3,306,301,342,118,30,35,30,F
24,6,0,398,162,110,30,35,30,M
